Datos,Calificación,Respuesta
1,5,N
2,7,N
3,6,S
4,5,N
5,7,S
6,10,S
7,5,S
8,10,S
9,10,S
10,5,S
11,9,S
12,9,S
13,7,N
14,9,S
15,7,S
16,6,S
17,7,S
18,10,S
19,6,S
20,6,S
21,8,S
22,7,S
23,8,S
24,6,S
25,6,S
26,5,S
27,10,S
28,8,S
29,10,S
30,5,S
31,7,S
32,9,N
33,8,S
34,5,S
35,10,S
36,6,S
37,7,S
38,8,S
39,10,N
40,9,S
41,6,N
42,9,S
43,9,N
44,10,S
45,5,S
46,10,S
47,7,S
48,10,N
49,10,S
50,10,S
51,7,S
52,5,S
53,7,S
54,8,S
55,5,S
56,10,S
57,6,S
58,7,S
59,8,N
60,10,S
61,5,N
62,9,S
63,8,N
64,10,S
65,6,S
66,8,S
67,6,S
68,5,N
69,8,S
70,7,S
71,5,S
72,6,S
73,5,S
74,6,S
75,7,S
76,9,S
77,5,S
78,7,S
79,6,N
80,9,S
81,6,S
82,5,S
83,9,S
84,7,S
85,5,S
86,7,S
87,6,S
88,10,N
89,10,S
90,7,S
91,6,S
92,6,N
93,6,S
94,7,S
95,10,S
96,9,S
97,8,S
98,6,S
99,5,S
100,9,S
101,6,S
102,8,S
103,8,S
104,6,S
105,6,S
106,9,S
107,10,S
108,5,S
109,7,N
110,10,N
111,9,S
112,7,S
113,9,S
114,7,S
115,10,S
116,10,S
117,7,S
118,7,S
119,7,S
120,6,N
121,5,N
122,7,N
123,9,S
124,9,N
125,10,S
126,10,S
127,9,S
128,6,S
129,7,S
130,9,S
131,9,S
132,9,S
133,9,N
134,10,S
135,6,S
136,5,S
137,8,S
138,7,S
139,10,S
140,10,S
141,7,S
142,6,S
143,7,S
144,6,S
145,10,S
146,6,S
147,8,S
148,8,S
149,8,S
150,10,S
151,7,S
152,10,N
153,9,S
154,5,S
155,10,S
156,8,S
157,7,S
158,5,S
159,9,N
160,6,S
161,9,N
162,8,S
163,10,N
164,8,S
165,10,S
166,10,S
167,8,S
168,5,N
169,7,S
170,5,S
171,7,S
172,7,S
173,6,S
174,10,S
175,5,S
176,9,S
177,10,S
178,9,S
179,7,N
180,6,S
181,6,N
182,10,S
183,7,N
184,7,S
185,10,S
186,5,S
187,5,S
188,6,N
189,7,S
190,8,S
191,6,S
192,5,S
193,5,S
194,7,S
195,10,S
196,8,S
197,9,S
198,6,S
199,10,N
200,8,S
